deck_id,owner_player,player,deck_name_normalized,display_name,official_name,commander_name,moxfield_url,archidekt_url,edhrec_url,first_played,last_played,games_played,wins,notes,aliases,variants,win_rate
chepe--yuna,Chepe,Chepe,Yuna,Yuna,,,,,,2026-01-11,2026-02-12,3,2,,"[""yuna"", ""yunachepe""]",[],0.6667
cris--angeles,Cris,Cris,Ángeles,Ángeles,,,,,,2026-07-25,2026-07-25,2,1,,"[""Angeles"", ""angeles""]",[],0.5
cris--gigantes,Cris,Cris,Gigantes,Gigantes,,,,,,2026-07-26,2026-07-26,1,0,,"[""Gigantes""]",[],0.0
jairo--abuelo,Jairo,Jairo,Abuelo,Abuelo,,,,,,2026-02-22,2026-02-22,1,0,,"[""abuelo""]",[],0.0
jairo--attractions,Jairo,Jairo,Attractions,Attractions,,,,,,2026-02-02,2026-02-02,1,0,,"[""attractions""]",[],0.0
jairo--conejos,Jairo,Jairo,Conejos,Conejos,,,,,,2026-01-31,2026-03-26,5,1,,"[""conejos"", ""conejosjairo""]",[],0.2
jairo--dinos,Jairo,Cris,Dinos,Dinos,,,,,,2026-07-25,2026-07-25,1,0,,"[""Dinos""]",[],0.0
jairo--dinos,Jairo,Jairo,Dinos,Dinos,,,,,,2026-01-21,2026-07-10,4,1,,"[""dinos""]",[],0.25
jairo--dinos,Jairo,Paniagua,Dinos,Dinos,,,,,,2026-01-08,2026-01-08,2,1,,"[""dinos(Pani)"", ""dinosaurios(Pani)""]",[],0.5
jairo--equipments,Jairo,Jairo,Jairo Equipments,Jairo Equipments,,,,,,2026-02-04,2026-02-04,1,1,,"[""equipsjairo""]",[],1.0
jairo--graveyard,Jairo,Jairo,Graveyard,Graveyard,,,,,,2026-01-08,2026-07-10,6,0,,"[""graveyard""]",[],0.0
jairo--iroh,Jairo,Andrés,Iroh,Iroh,,,,,,2026-01-30,2026-01-30,1,1,,"[""Iroh""]",[],1.0
jairo--iroh,Jairo,Jairo,Iroh,Iroh,,,,,,2026-01-11,2026-04-16,19,5,,"[""iroh""]",[],0.2632
jairo--jairo-verde-verde,Jairo,Jairo,Jairo Verde Verde,Jairo Verde Verde,,,,,,2026-02-12,2026-02-12,1,0,,"[""jairoverdeverde""]",[],0.0
jairo--kithkin,Jairo,Jairo,Kithkin,Kithkin,,,,,,2026-01-19,2026-01-19,1,1,,"[""kithkin""]",[],1.0
jairo--loreholdinternet,Jairo,Jairo,LoreholdInternet,LoreholdInternet,,,,,,2026-07-26,2026-07-26,1,0,,"[""LoreholdInternet""]",[],0.0
jairo--mabel-mouses,Jairo,Jairo,Mabel Mouses,Mabel Mouses,,,,,,2026-02-22,2026-02-22,1,0,,"[""mabelmouses""]",[],0.0
jairo--marneus,Jairo,Jairo,Marneus,Marneus,,,,,,2026-01-22,2026-07-25,9,2,,"[""maerneus"", ""Magnus"", ""Marneus"", ""marneus""]",[],0.2222
jairo--ragost,Jairo,Jairo,Ragost,Ragost,,,,,,2026-03-03,2026-03-03,1,0,,"[""ragostjairo""]",[],0.0
jairo--rata,Jairo,Jairo,Rata,Rata,,,,,,2026-01-11,2026-03-26,5,1,,"[""rata"", ""rata(vehic)"", ""rata(vehiculos)""]","[""Vehículos""]",0.2
jairo--roxanne,Jairo,Jairo,Roxanne,Roxanne,,,,,,2026-03-03,2026-04-16,2,1,,"[""metoritos"", ""roxanne""]",[],0.5
jairo--scry,Jairo,Jairo,Scry,Scry,,,,,,2026-01-19,2026-01-19,1,1,,"[""scry""]",[],1.0
jairo--sokka-suki,Jairo,Jairo,Sokka/Suki,Sokka/Suki,,,,,,2026-01-31,2026-02-12,2,1,,"[""sokkasuki""]",[],0.5
jairo--volo,Jairo,Jairo,Volo,Volo,,,,,,2026-01-08,2026-02-16,4,3,,"[""Volo"", ""volo"", ""volo(nerfed ver.)""]","[""Nerfed""]",0.75
jairo--winota,Jairo,Jairo,Winota,Winota,,,,,,2026-02-15,2026-02-15,2,1,,"[""winota""]",[],0.5
jairo--yuna,Jairo,Jairo,Yuna,Yuna,,,,,,2026-01-11,2026-01-11,1,1,,"[""yuna(jairo ver)"", ""YunaJairo""]","[""Versión Jairo""]",1.0
unknown--unknown,No registrado,Jairo,Unknown,Unknown,,,,,,2026-01-19,2026-01-19,1,0,,"[""unknown""]",[],0.0
